,Y,X,הסבר,שם המאגר,מספר
0,792392,256762,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"מעין ברוך, מאגר קולחין",1
1,791019,258455,"באזור שבעבר היו בתי גידול לחים, מיקום עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","הגושרים, מאגר קולחין",2
2,787977,261043,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","כפר סאלד, ב.ח.",3
3,786877,253370,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",מאגר -קרית שמונה  ולחין ק,4
4,783238,257139,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","נאות מרדכי, מאגר קולחין",5
5,782033,260439,"לחים, מיקום באזור שבעבר היו בתי גידול עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","גונן, מאגר קולחין",6
6,776600,254800,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",עינןמאגר ,7
7,760500,282000,ניזון ממעיינות מקומיים על חשבון גוף מים הסטורי,בוטמיהמאגר ,8
8,746600,273800,קינון מינים בסיכון,חיתלמאגר ,9
9,769188,243263,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,דלתוןמאגר ,10
10,776083,210611,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","ראש הניקרה, מאגר המערבי  קולחין",11
11,773627,213216,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"מצובה, מאגר-שלומי קולחין",12
12,770923,211921,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"הקורן, מאגר קולחין",13
13,766000,212000,"באזור שבעבר היו בתי גידול לחים, מיקום  עושר ושפע מיני עופות מים גבוה","עברון (נתיב השיירה),  מאגר קולחין",14
14,764125,209796,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","רגבה, מאגר קולחין",15
15,762821,210457,"שבעבר היו בתי גידול לחים, מיקום באזור  עושר ושפע מיני עופות מים גבוה","לוחמי הגטאות, מאגר קולחין",16
16,755500,214800,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",עין המפרץ מאגר ,17
17,751030,210785,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",כפר מסריק,18
18,743100,224800,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,ציפורי -יפתחאלמאגר ,19
19,742048,206374,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון",נשרמאגר ,20
20,742000,207800,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"שער העמקים, מאגר ג'",21
21,741794,208095,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",כפר חסידים ב',22
22,741400,208100,עושר ושפע מיני עופות מים גבוה נוכחות בסיכוןקבועה של מינים ,"כפר חסידים, מאגר א",23
23,736800,209900,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","שער העמקים, מאגר בית",24
24,733000,213000,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","צפון -שדה יעקב, מאגר א'",25
25,731525,211828,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","מאגר ג'יוקנעם, ",26
26,730557,212302,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","יוקנעם, מאגר א'+ב'",27
27,729300,212000,"גידול לחים, מיקום באזור שבעבר היו בתי עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","-יוקנעם, מאגר ד' מנסורה",28
28,731600,217000,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","נהלל, מאגר א'",29
29,731402,218171,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","רמת דוד, מאגר / עין סיפן",30
30,729400,222000,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","'שריד, מאגר ב",31
31,727800,215200,"מיקום באזור שבעבר היו בתי גידול לחים,  עופות מים גבוהעושר ושפע מיני ",בריכות דגים משמר העמק,32
32,727595,215215,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"'משמר העמק, מאגר ד",33
33,726489,216982,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"'גבת, מאגר א",34
34,727117,219551,"בתי גידול לחים, מיקום באזור שבעבר היו עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון", ךכפר ברואגם ,35
35,728200,223000,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון", 1גניגר מאגר ב' ,36
36,728200,223600,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","כפר + גניגר, מאגר ג' החורש",37
37,728844,224571,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון", 2גניגר מאגר א' ,38
38,724937,223077,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","צפון -הקישון, תשלובת",39
39,724000,223000,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","דרום -הקישון, תשלובת",40
40,724400,216900,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","מדרך עוז, מאגר",41
41,724800,215400,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון",-שער העמקים ברכה דר' 'מאגר א,42
42,724267,214611,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","משמר העמק, ביוב א'",43
43,724279,214602,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  ים בסיכוןקבועה של מינ","משמר העמק, מאגר ביוב 'ב",44
44,728154,228501,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון"," -תל עדשים, מאגר א' דרום",45
45,720000,227000,"מיקום באזור שבעבר היו בתי גידול לחים,  גבוהעושר ושפע מיני עופות מים ",יזרעאל מאגר קולחין,46
46,716000,223200,"משמש לממשק שקנאים, מיקום באזורשבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים  בסיכון","רם און, מאגר מערבי",47
47,715500,226800,"משמש לממשק שקנאים, מיקום באזורעושר ושפע מיני שבעבר היו בתי גידול לחים, עופות מים גבוה נוכחות קבועה של מינים  בסיכון","רם און, מאגר מזרחי",48
48,718000,234000,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","כפר יחזקאל, מאגר מערב",49
49,717600,237700,"מיקום באזור שבעבר היו בתי גידול לחים,  עופות מים גבוהעושר ושפע מיני ","תל יוסף, ב.ח.",50
